LA_code,LA_initial,LA_name,year.1,measure_of_wb,wb_rating,WB_av
S12000033,AbnCity,Aberdeen City,2011,worthwhile,very-good,31.36
S12000033,AbnCity,Aberdeen City,2011,worthwhile,poor,5.3
S12000033,AbnCity,Aberdeen City,2011,worthwhile,fair,13.54
S12000033,AbnCity,Aberdeen City,2011,happiness,good,37.14
S12000033,AbnCity,Aberdeen City,2011,life-satisfaction,poor,3.75
S12000033,AbnCity,Aberdeen City,2011,life-satisfaction,very-good,27.95
S12000033,AbnCity,Aberdeen City,2011,worthwhile,good,49.8
S12000033,AbnCity,Aberdeen City,2011,life-satisfaction,fair,12.95
S12000033,AbnCity,Aberdeen City,2011,life-satisfaction,good,55.35
S12000033,AbnCity,Aberdeen City,2011,happiness,poor,9.78
S12000033,AbnCity,Aberdeen City,2011,happiness,very-good,34.84
S12000033,AbnCity,Aberdeen City,2011,happiness,average-mean,7.37
S12000033,AbnCity,Aberdeen City,2011,life-satisfaction,average-mean,7.68
S12000033,AbnCity,Aberdeen City,2011,anxiety,good,29.17
S12000033,AbnCity,Aberdeen City,2011,anxiety,poor,18.32
S12000033,AbnCity,Aberdeen City,2011,anxiety,average-mean,3.01
S12000033,AbnCity,Aberdeen City,2011,anxiety,fair,17.53
S12000033,AbnCity,Aberdeen City,2011,happiness,fair,18.24
S12000033,AbnCity,Aberdeen City,2011,anxiety,very-good,34.98
S12000033,AbnCity,Aberdeen City,2011,worthwhile,average-mean,7.65
S12000033,AbnCity,Aberdeen City,2012,worthwhile,poor,6.31
S12000033,AbnCity,Aberdeen City,2012,worthwhile,very-good,29.25
S12000033,AbnCity,Aberdeen City,2012,anxiety,fair,12.92
S12000033,AbnCity,Aberdeen City,2012,worthwhile,good,48.28
S12000033,AbnCity,Aberdeen City,2012,life-satisfaction,poor,7.61
S12000033,AbnCity,Aberdeen City,2012,life-satisfaction,good,51.73
S12000033,AbnCity,Aberdeen City,2012,life-satisfaction,very-good,27.81
S12000033,AbnCity,Aberdeen City,2012,happiness,poor,6.43
S12000033,AbnCity,Aberdeen City,2012,life-satisfaction,fair,12.85
S12000033,AbnCity,Aberdeen City,2012,worthwhile,fair,16.16
S12000033,AbnCity,Aberdeen City,2012,life-satisfaction,average-mean,7.52
S12000033,AbnCity,Aberdeen City,2012,happiness,average-mean,7.44
S12000033,AbnCity,Aberdeen City,2012,anxiety,poor,17.12
S12000033,AbnCity,Aberdeen City,2012,anxiety,average-mean,2.56
S12000033,AbnCity,Aberdeen City,2012,happiness,fair,17.96
S12000033,AbnCity,Aberdeen City,2012,happiness,good,45.64
S12000033,AbnCity,Aberdeen City,2012,anxiety,very-good,43.16
S12000033,AbnCity,Aberdeen City,2012,happiness,very-good,29.98
S12000033,AbnCity,Aberdeen City,2012,anxiety,good,26.79
S12000033,AbnCity,Aberdeen City,2012,worthwhile,average-mean,7.55
S12000033,AbnCity,Aberdeen City,2013,worthwhile,fair,12.25
S12000033,AbnCity,Aberdeen City,2013,worthwhile,good,50.4
S12000033,AbnCity,Aberdeen City,2013,worthwhile,poor,3.8
S12000033,AbnCity,Aberdeen City,2013,worthwhile,very-good,33.55
S12000033,AbnCity,Aberdeen City,2013,happiness,very-good,31.37
S12000033,AbnCity,Aberdeen City,2013,happiness,average-mean,7.36
S12000033,AbnCity,Aberdeen City,2013,anxiety,good,24.62
S12000033,AbnCity,Aberdeen City,2013,anxiety,poor,18.42
S12000033,AbnCity,Aberdeen City,2013,life-satisfaction,good,53.86
S12000033,AbnCity,Aberdeen City,2013,happiness,poor,9.16
S12000033,AbnCity,Aberdeen City,2013,happiness,good,43.37
S12000033,AbnCity,Aberdeen City,2013,anxiety,fair,18.55
S12000033,AbnCity,Aberdeen City,2013,life-satisfaction,average-mean,7.73
S12000033,AbnCity,Aberdeen City,2013,life-satisfaction,poor,3.42
S12000033,AbnCity,Aberdeen City,2013,life-satisfaction,fair,12.77
S12000033,AbnCity,Aberdeen City,2013,life-satisfaction,very-good,29.96
